PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_CLOSE,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,,,
000062 CS Equity,000062,Shenzhen,CNY,BBG000D423R8,6813387,CNE0000008R9,,20.980000,3215873.000000,15133.225919,14,1410,141010,14101013,Common Stock,,,
000063 CS Equity,000063,Shenzhen,CNY,BBG000GC4ZY6,6073062,CNE000000TK5,,16.310000,236339800.000000,56060.231430,18,1810,181010,18101011,Common Stock,,,
000065 CS Equity,000065,Shenzhen,CNY,BBG000GBSTM9,6112125,CNE000000VZ9,,8.780000,6821956.000000,6756.257500,13,1311,131112,13111210,Common Stock,,,
000066 CS Equity,000066,Shenzhen,CNY,BBG000D3MJ93,6112095,CNE000000RL7,,7.670000,61166910.000000,22581.012751,18,1810,181013,,Common Stock,,,
000068 CS Equity,000068,Shenzhen,CNY,BBG000D42218,6000156,CNE000000QV8,,3.100000,3147259.000000,3120.681538,18,1810,181011,,Common Stock,,,
000069 CS Equity,000069,Shenzhen,CNY,BBG000D40Z26,6036991,CNE000000SS0,,6.780000,25057250.000000,55623.671994,11,1118,111810,11181011,Common Stock,,,
000070 CS Equity,000070,Shenzhen,CNY,BBG000DYQQB2,6237288,CNE000001238,,8.100000,7638651.000000,5078.657443,18,1810,181010,18101013,Common Stock,,,
000078 CS Equity,000078,Shenzhen,CNY,BBG000DYQNG4,6139663,CNE000000X95,,4.400000,11891980.000000,11645.098331,15,1510,151013,,Common Stock,,,
000088 CS Equity,000088,Shenzhen,CNY,BBG000D40XL0,6015569,CNE000000SF7,,5.870000,6141816.000000,11400.714000,16,1617,161714,,Common Stock,,,
000089 CS Equity,000089,Shenzhen,CNY,BBG000GBZ0H0,6108102,CNE000000VK1,,8.210000,11603170.000000,16836.817669,16,1617,161716,16171610,Common Stock,,,
000090 CS Equity,000090,Shenzhen,CNY,BBG000CW5553,6164353,CNE000000F89,,6.190000,5650378.000000,8897.150954,16,1615,161512,16151213,Common Stock,,,
000096 CS Equity,000096,Shenzhen,CNY,BBG000DPZVQ4,6276924,CNE000001410,,10.860000,707684.900000,5734.080000,13,1310,131014,13101411,Common Stock,,,
000099 CS Equity,000099,Shenzhen,CNY,BBG000DPW655,6269496,CNE0000013Q1,,6.620000,3302110.000000,4012.186180,13,1310,131015,13101511,Common Stock,,,
000100 CS Equity,000100,Shenzhen,CNY,BBG000NYNDN0,6731133,CNE000001GL8,,3.060000,64968870.000000,41461.924431,18,1810,181011,,Common Stock,,,
000150 CS Equity,000150,Shenzhen,CNY,BBG000DPZ714,6281768,CNE0000014D7,,19.710000,569012.500000,12356.727760,15,1512,151210,,Common Stock,,,
000151 CS Equity,000151,Shenzhen,CNY,BBG000DPW2T8,6283139,CNE0000014J4,,12.770000,11166660.000000,3779.664600,11,1119,111915,,Common Stock,,,
000153 CS Equity,000153,Shenzhen,CNY,BBG000DPVXR3,6288446,CNE0000014X5,,6.810000,3346284.000000,2159.298660,15,1510,151013,,Common Stock,,,
000155 CS Equity,000155,Shenzhen,CNY,BBG000DPZZM9,6288480,CNE0000014Z0,,5.540000,12441000.000000,7035.800000,17,1710,171010,17101012,Common Stock,,,
000156 CS Equity,000156,Shenzhen,CNY,BBG000DPXZ05,6283872,CNE0000014L0,,9.400000,6401724.000000,13473.507879,10,1010,101011,,Common Stock,,,
000157 CS Equity,000157,Shenzhen,CNY,BBG000DPVZ16,6289977,CNE000001527,,4.190000,19087910.000000,26840.473744,16,1612,161211,16121110,Common Stock,,,
000158 CS Equity,000158,Shenzhen,CNY,BBG000DPZWY3,6276968,CNE0000013X7,,6.200000,8062229.000000,10247.824758,11,1110,111011,11101111,Common Stock,,,
000159 CS Equity,000159,Shenzhen,CNY,BBG000DQ16F6,6286989,CNE0000014R7,,3.720000,2178494.000000,1789.838174,13,1310,131016,13101611,Common Stock,,,
000166 CS Equity,000166,Shenzhen,CNY,BBG007ZC22K0,BVHFB90,CNE100002FD4,,4.460000,15248150.000000,100510.312738,14,1413,141310,,Common Stock,,,
000301 CS Equity,000301,Shenzhen,CNY,BBG000GC21J0,6246336,CNE0000012K6,,6.110000,12838350.000000,7443.424679,19,1910,191012,,Common Stock,,,
000333 CS Equity,000333,Shenzhen,CNY,BBG0058YY935,BDVHRJ8,CNE100001QQ5,,47.680000,44678900.000000,315841.178706,11,1112,111211,11121112,Common Stock,,,
000338 CS Equity,000338,Shenzhen,CNY,BBG000R7HW78,B1WPGD4,CNE1000000D4,,8.880000,66382050.000000,53761.283177,16,1614,161410,16141010,Common Stock,,,
000400 CS Equity,000400,Shenzhen,CNY,BBG000D455F3,6007685,CNE0000007F6,,8.190000,4440184.000000,8258.200661,16,1611,161111,16111111,Common Stock,,,
000401 CS Equity,000401,Shenzhen,CNY,BBG000P6KK83,6889946,CNE000000GX5,,11.520000,26088700.000000,15523.463969,17,1711,171110,17111012,Common Stock,,,
000402 CS Equity,000402,Shenzhen,CNY,BBG000P67Q85,6177685,CNE000000KT5,,7.450000,11159520.000000,22267.527807,14,1415,141510,,Common Stock,,,
000403 CS Equity,000403,Shenzhen,CNY,BBG000C07PZ4,6987884,CNE000000F14,,29.740000,321109.600000,8106.457794,15,1510,151011,,Common Stock,,,
000404 CS Equity,000404,Shenzhen,CNY,BBG000P6C5X7,6429922,CNE000000KM0,,4.470000,2990135.000000,3111.102026,16,1612,161214,16121410,Common Stock,,,
000407 CS Equity,000407,Shenzhen,CNY,BBG000P6FQ86,6798718,CNE000000G88,,4.210000,8133768.000000,3705.156402,13,1310,131014,13101411,Common Stock,,,
000408 CS Equity,000408,Shenzhen,CNY,BBG000P69Z74,6445490,CNE000000L08,,14.550000,696466.700000,29009.492045,17,1710,171011,,Common Stock,,,
000409 CS Equity,000409,Shenzhen,CNY,BBG000P6KGS0,6381033,CNE000000L40,,3.310000,3175829.000000,1691.182133,17,1710,171010,,Common Stock,,,
000410 CS Equity,000410,Shenzhen,CNY,BBG000P6FRB0,6765831,CNE0000008W9,,8.270000,9962611.000000,6330.444211,11,1112,111211,11121117,Common Stock,,,
000411 CS Equity,000411,Shenzhen,CNY,BBG000P69MR1,6420754,CNE0000008D9,,14.110000,7791081.000000,2927.118738,15,1510,151013,,Common Stock,,,
000413 CS Equity,000413,Shenzhen,CNY,BBG000P6K8Z0,6795065,CNE000000578,,6.240000,57019730.000000,34196.760730,18,1810,181016,18101611,Common Stock,,,
000415 CS Equity,000415,Shenzhen,CNY,BBG000P6MCC4,6981068,CNE0000009B1,,4.280000,21636140.000000,26469.751087,14,1412,141210,14121010,Common Stock,,,
000416 CS Equity,000416,Shenzhen,CNY,BBG000P6FG15,6714855,CNE0000009P1,,5.220000,6865453.000000,2776.369199,14,1412,141214,14121412,Common Stock,,,
000417 CS Equity,000417,Shenzhen,CNY,BBG000P69NK6,6449072,CNE000000BV0,,5.870000,3508451.000000,4577.920254,11,1120,112013,11201310,Common Stock,,,
000418 CS Equity,000418,Shenzhen,CNY,BBG000P6LYR1,6982511,CNE000000D32,,59.080000,2762077.000000,26080.977779,11,1112,111211,11121112,Common Stock,,,
