PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_CLOSE,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,,,
600079 CG Equity,600079,Shanghai,CNY,BBG000BWDLR6,6000190,CNE000000QW6,,12.210000,8963200.000000,16528.729527,15,1510,151012,,Common Stock,,,
600080 CG Equity,600080,Shanghai,CNY,BBG000BFW187,6369608,CNE000000QQ8,,10.210000,2526844.000000,3811.089610,15,1510,151013,,Common Stock,,,
600081 CG Equity,600081,Shanghai,CNY,BBG000BWQYX7,6008451,CNE000000RP8,,10.470000,2065913.000000,3282.973200,11,1111,111111,11111127,Common Stock,,,
600082 CG Equity,600082,Shanghai,CNY,BBG000BWSRK4,6004415,CNE000000RD4,,4.500000,2211318.000000,2907.521217,11,1119,111912,11191210,Common Stock,,,
600083 CG Equity,600083,Shanghai,CNY,BBG000BWBXQ3,6001137,CNE000000R28,,18.680000,502276.700000,4296.400000,17,1710,171011,17101112,Common Stock,,,
600084 CG Equity,600084,Shanghai,CNY,BBG000BXFQQ2,6011330,CNE000000RZ7,,4.040000,17912720.000000,4539.856393,12,1210,121012,12101210,Common Stock,,,
600085 CG Equity,600085,Shanghai,CNY,BBG000BX1T81,6003542,CNE000000R69,,35.000000,7446255.000000,48001.459170,15,1510,151012,,Common Stock,,,
600086 CG Equity,600086,Shanghai,CNY,BBG000BWDWS1,6001171,CNE000000QX4,,,,,11,1110,111010,11101016,Common Stock,,,
600088 CG Equity,600088,Shanghai,CNY,BBG000BWLW93,6001256,CNE000000QY2,,9.970000,1313651.000000,3965.132808,10,1010,101012,10101210,Common Stock,,,
600089 CG Equity,600089,Shanghai,CNY,BBG000BWQ7W7,6003973,CNE000000RB8,,6.980000,11902790.000000,25927.229467,16,1611,161114,16111410,Common Stock,,,
600090 CG Equity,600090,Shanghai,CNY,BBG000BWLXN5,6012753,CNE000000QK1,,5.860000,7022070.000000,8436.424858,15,1510,151012,,Common Stock,,,
600091 CG Equity,600091,Shanghai,CNY,BBG000BX6MT8,6008194,CNE000000RQ6,,3.750000,997388.300000,1640.296965,17,1710,171011,17101110,Common Stock,,,
600093 CG Equity,600093,Shanghai,CNY,BBG000BGTCL0,6005430,CNE000000RG7,,11.080000,8251364.000000,12436.718300,18,1812,181210,18121013,Common Stock,,,
600094 CG Equity,600094,Shanghai,CNY,BBG000JDV6D8,6012560,CNE000000S76,,5.290000,3952614.000000,12043.240249,14,1415,141510,,Common Stock,,,
600095 CG Equity,600095,Shanghai,CNY,BBG000BXCVH4,6012311,CNE000000S68,,4.370000,4793826.000000,1578.721779,14,1415,141510,,Common Stock,,,
600096 CG Equity,600096,Shanghai,CNY,BBG000BXCSQ1,6011363,CNE000000S01,,5.410000,5459986.000000,7148.661137,17,1710,171010,17101012,Common Stock,,,
600097 CG Equity,600097,Shanghai,CNY,BBG000BKLKD0,6000286,CNE000000QT2,,11.220000,787871.600000,2703.308192,12,1210,121010,12101012,Common Stock,,,
600098 CG Equity,600098,Shanghai,CNY,BBG000BWKC07,6012816,CNE000000SB6,,6.420000,1607417.000000,17502.181902,13,1310,131016,,Common Stock,,,
600099 CG Equity,600099,Shanghai,CNY,BBG000BXBTZ0,6009421,CNE000000RX2,,6.890000,3808498.000000,1509.736800,11,1111,111110,11111012,Common Stock,,,
600100 CG Equity,600100,Shanghai,CNY,BBG000BWQXJ5,6093060,CNE000000RK9,,9.990000,9300158.000000,29609.350520,18,1810,181013,18101310,Common Stock,,,
600101 CG Equity,600101,Shanghai,CNY,BBG000BWGL75,6015246,CNE000000SC4,,7.240000,1707574.000000,2347.055793,19,1910,191011,,Common Stock,,,
600103 CG Equity,600103,Shanghai,CNY,BBG000BXBRP5,6009197,CNE000000S19,,3.050000,5480277.000000,5409.803315,17,1713,171311,17131112,Common Stock,,,
600104 CG Equity,600104,Shanghai,CNY,BBG000BJG7K0,6086974,CNE000000TY6,,32.740000,15468010.000000,382516.525090,11,1111,111110,,Common Stock,,,
600105 CG Equity,600105,Shanghai,CNY,BBG000BV1DT7,6051381,CNE000000T83,,3.730000,4420603.000000,4673.917605,16,1611,161114,16111413,Common Stock,,,
600106 CG Equity,600106,Shanghai,CNY,BBG000BWQ6M0,6003553,CNE000000R93,,3.370000,7954168.000000,3701.499553,16,1615,161512,16151211,Common Stock,,,
600107 CG Equity,600107,Shanghai,CNY,BBG000BLWRP8,6083685,CNE000000TN9,,6.630000,5269666.000000,2386.800000,11,1110,111010,11101010,Common Stock,,,
600108 CG Equity,600108,Shanghai,CNY,BBG000BYRSM7,6019389,CNE000000SP6,,3.020000,11291740.000000,5879.683665,12,1210,121010,12101013,Common Stock,,,
600109 CG Equity,600109,Shanghai,CNY,BBG000BYFSD0,6093048,CNE000000SV4,,7.190000,18117250.000000,21745.143439,14,1413,141310,,Common Stock,,,
600110 CG Equity,600110,Shanghai,CNY,BBG000BZN1Z3,6093037,CNE000000TB4,,5.310000,19359570.000000,6108.157235,16,1611,161114,,Common Stock,,,
600111 CG Equity,600111,Shanghai,CNY,BBG000BTZ0Z6,6042017,CNE000000T18,,11.250000,28372850.000000,40871.992500,17,1715,171510,17151019,Common Stock,,,
600112 CG Equity,600112,Shanghai,CNY,BBG000BPDL55,6086457,CNE000000TV2,,4.080000,10211520.000000,2077.555772,16,1611,161111,16111111,Common Stock,,,
600113 CG Equity,600113,Shanghai,CNY,BBG000BVKXX7,6055662,CNE000000TC2,,8.590000,8875007.000000,2736.774000,16,1611,161110,16111012,Common Stock,,,
600114 CG Equity,600114,Shanghai,CNY,BBG000P3K985,B012T96,CNE000001HK8,,9.820000,3072557.000000,6341.702196,11,1111,111111,,Common Stock,,,
600115 CG Equity,600115,Shanghai,CNY,BBG000BZFH14,6085261,CNE000000TR0,,6.020000,59245300.000000,59047.083806,11,1117,111710,11171010,Common Stock,,,
600116 CG Equity,600116,Shanghai,CNY,BBG000BY9YV4,6018869,CNE000000SN1,,6.680000,3614293.000000,6633.276753,19,1910,191011,19101112,Common Stock,,,
600117 CG Equity,600117,Shanghai,CNY,BBG000BZSLQ4,6093082,CNE000000TF5,,5.130000,34491160.000000,5361.456633,17,1714,171412,17141212,Common Stock,,,
600118 CG Equity,600118,Shanghai,CNY,BBG000BHMY91,6018858,CNE000000SM3,,19.450000,5434430.000000,22999.413676,18,1810,181010,18101013,Common Stock,,,
600119 CG Equity,600119,Shanghai,CNY,BBG000BYH1T0,6092034,CNE000000V22,,8.420000,3478799.000000,2588.308000,16,1617,161715,,Common Stock,,,
600120 CG Equity,600120,Shanghai,CNY,BBG000BX6RV4,6088077,CNE000000V06,,13.750000,4291945.000000,12022.836279,11,1110,111010,11101010,Common Stock,,,
600121 CG Equity,600121,Shanghai,CNY,BBG000BGBLQ4,6084581,CNE000000TS8,,3.580000,11749800.000000,3634.929247,13,1310,131016,13101610,Common Stock,,,
600122 CG Equity,600122,Shanghai,CNY,BBG000C2DPS1,6109729,CNE000000VP0,,7.450000,0.000000,8627.475108,11,1120,112012,11201210,Common Stock,,,
600123 CG Equity,600123,Shanghai,CNY,BBG000BP7628,6134839,CNE000000XZ5,,6.720000,6215430.000000,7676.928000,13,1310,131016,,Common Stock,,,
600125 CG Equity,600125,Shanghai,CNY,BBG000C2W8H0,6112103,CNE000000VW6,,9.020000,20132010.000000,11775.807303,16,1617,161713,,Common Stock,,,
600126 CG Equity,600126,Shanghai,CNY,BBG000BDPQD9,6104155,CNE000000V97,,4.900000,6620587.000000,16548.226507,17,1714,171412,,Common Stock,,,
600127 CG Equity,600127,Shanghai,CNY,BBG000BDBJL1,6111199,CNE000000VT2,,3.480000,4160103.000000,2233.405599,12,1210,121010,12101013,Common Stock,,,
600128 CG Equity,600128,Shanghai,CNY,BBG000BZ15G9,6038975,CNE000000SY8,,7.070000,1946953.000000,1744.646225,11,1119,111914,,Common Stock,,,
600129 CG Equity,600129,Shanghai,CNY,BBG000BWT102,6091569,CNE000000TQ2,,13.290000,4113368.000000,7401.077988,12,1212,121210,12121013,Common Stock,,,
600130 CG Equity,600130,Shanghai,CNY,BBG000BHDMW1,6264190,CNE0000013F4,,3.400000,51210130.000000,2611.200000,18,1810,181010,18101012,Common Stock,,,
