PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_CLOSE,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,PX_ROUND_LOT_SIZE,FUT_CONTRACT_SIZE_REALTIME,FUT_TICK_SIZE
1710 HK Equity,1710,Hong Kong,HKD,BBG00J763R86,BFFKVH3,HK0000372331,,0.460000,438800.000000,460.000000,16,1611,161114,,Common Stock,4000,,
1711 HK Equity,1711,Hong Kong,HKD,BBG00JRMXVQ7,BDGL0P2,HK0000387867,,0.410000,1343900.000000,328.000000,11,1120,112015,11201511,Common Stock,10000,,
1715 HK Equity,1715,Hong Kong,HKD,BBG00LBC4FT5,BG20S05,KYG6118R1092,,0.345000,,517.500000,11,1112,111211,11121113,Common Stock,10000,,
1716 HK Equity,1716,Hong Kong,HKD,BBG00KBC8T13,BDVPYG8,KYG629061055,,1.610000,633560.500000,434.700000,10,1010,101010,,Common Stock,2000,,
1717 HK Equity,1717,Hong Kong,HKD,BBG000VZ81Z8,B4M2F06,KYG063181021,,10.520000,1864080.000000,14015.276870,12,1210,121011,12101112,Common Stock,1000,,
1718 HK Equity,1718,Hong Kong,HKD,BBG009PVZ764,BZ3FLS1,KYG943081060,,1.170000,533000.000000,1123.200000,16,1615,161510,16151011,Common Stock,5000,,
1719 HK Equity,1719,Hong Kong,HKD,BBG000BSDS45,B0K7S62,KYG214261045,,1.150000,339600.000000,1983.826692,16,1617,161716,16171611,Common Stock,4000,,
171 HK Equity,171,Hong Kong,HKD,BBG000BDXG06,6460222,HK0171000877,,1.440000,4933600.000000,3318.983440,17,1710,171011,17101111,Common Stock,2000,,
1720 HK Equity,1720,Hong Kong,HKD,BBG00J382BZ2,BD2BQN6,KYG730051037,,2.900000,2164000.000000,3190.000000,16,1611,161114,16111413,Common Stock,4000,,
1721 HK Equity,1721,Hong Kong,HKD,BBG00LBC6DR0,BG20RY2,KYG368431030,,0.650000,,650.000000,16,1613,161310,16131020,Common Stock,5000,,
1722 HK Equity,1722,Hong Kong,HKD,BBG00JCX54V4,BFF99P4,KYG527871019,,0.430000,1428000.000000,430.000000,11,1114,111411,,Common Stock,10000,,
1726 HK Equity,1726,Hong Kong,HKD,BBG00KG64JB6,BF1GK56,KYG451601010,,0.430000,15849000.000000,344.000000,11,1114,111411,,Common Stock,5000,,
1727 HK Equity,1727,Hong Kong,HKD,BBG00JDXZZY8,BF138Q4,CNE100002R32,,4.950000,1235475.000000,2283.848325,16,1615,161510,,Common Stock,500,,
1728 HK Equity,1728,Hong Kong,HKD,BBG0019G8MK3,B3YLTZ7,KYG215A81084,,4.910000,10153370.000000,12049.839282,11,1120,112010,11201012,Common Stock,500,,
1729 HK Equity,1729,Hong Kong,HKD,BBG00JX8VFH8,BF5BQF9,KYG8879R1048,,0.385000,3476400.000000,708.400000,16,1611,161114,,Common Stock,8000,,
172 HK Equity,172,Hong Kong,HKD,BBG000BDXGK4,6565592,HK0172012327,,0.120000,406525.000000,331.429541,14,1412,141210,14121010,Common Stock,10000,,
1730 HK Equity,1730,Hong Kong,HKD,BBG00JM7SRP1,BD96B84,SG1AH9000002,,1.180000,4428450.000000,474.885572,14,1415,141512,14151211,Common Stock,2000,,
1731 HK Equity,1731,Hong Kong,HKD,BBG00LBC3JZ1,BG20S50,KYG7283E1052,,0.910000,,1019.200000,11,1110,111010,11101012,Common Stock,4000,,
1733 HK Equity,1733,Hong Kong,HKD,BBG000QWJWY2,BZ13Q93,VGG2921V1067,,0.520000,2680035.000000,1623.374665,13,1310,131016,13101610,Common Stock,12000,,
1735 HK Equity,1735,Hong Kong,HKD,BBG00KD7JG36,BDVPYB3,KYG9430M1050,,1.410000,270400.000000,372.240000,16,1615,161510,16151011,Common Stock,2000,,
1737 HK Equity,1737,Hong Kong,HKD,BBG00K6F0NL1,BFX0625,,,0.235000,1841500.000000,235.000000,16,1617,161710,,Common Stock,10000,,
1738 HK Equity,1738,Hong Kong,HKD,BBG005SDDWV0,BYR8D72,VGG3375A1194,,1.350000,13250.000000,1863.736830,13,1310,131016,,Common Stock,2500,,
1739 HK Equity,1739,Hong Kong,HKD,BBG00L7GNVZ8,BD9GY30,KYG730661058,,4.000000,,4840.496360,10,1010,101014,10101419,Common Stock,500,,
173 HK Equity,173,Hong Kong,HKD,BBG000BB2FG9,6480082,BMG5321P1169,,4.570000,2624791.000000,14244.990957,14,1415,141510,14151014,Common Stock,1000,,
1742 HK Equity,1742,Hong Kong,HKD,BBG00KSPYXS9,BDFGD37,KYG169491027,,0.270000,5364500.000000,432.000000,16,1615,161513,,Common Stock,5000,,
